Func1,Func2,Func3,Func4,Func5,Func6,Func7,Func8,Func9,Func10,Func11,Func12,Func13,Func14,Func15,Func16,Func17,Func18,Func19,Func20,Func21,Func22,Func23,Func24,Func25,Func26,Func27,Func28,Func29,Func30,Func31,Func32,Func33,Func34,Func35,Func36,Func37,Func38,Func39,Func40,Func41,Func42,Func43,Func44,Func45,Func46,Func47,Func48,Func49,Func50,Func51,Func52,Func53,Func54,Func55,Func56,Func57,Func58,Func59,Func60,Func61,Func62,Func63,Func64,Func65,Func66,Func67,Func68,Func69,Func70,Func71,Func72
7225.291014,22147.49683,1864.644289,2430.556885,6212.835789,1469.610453,2064.72373,1764.018297,1765.833139,1147.228241,5573.705435,2406.581163,995.9559441,1280.091047,9989.936113,22119.31896,5742.078304,3619.947672,2494.857788,6645.421505,1247.709751,72047.1189,1090.261698,1042.001009,27875.20313,7221.36879,2768.407106,3987.934113,1099.998951,30610.57782,12439.93282,994.4121838,1986.926556,6985.352516,2981.658936,41370.22328,1174.329519,3003.360748,2986.9771,15034.57999,6658.909321,16510.90908,17253.44324,600617.981,1080.65176,46842.65304,4277.390718,1524.481773,1337.813377,7056.626558,2638.346191,2063.418945,3480.95166,1656.318903,1157.094002,1144.012928,2110.364437,5389.629602,5893.947363,1997.817039,2846.601486,2349.519253,1298.195839,2331.514359,2285.911083,1400.068998,1417.114496,1246.974707,1545.943022,3918.558359,1884.66835,5875.197411
7173.431396,21181.58569,1858.138323,2403.937988,6166.27264,1428.655386,1806.106091,1775.54822,1881.803751,1121.505737,5383.748531,2447.25132,993.9665794,1307.35445,9563.483,22984.18975,5835.880041,3666.212559,2644.517899,6767.119408,1277.733088,73637.83193,1128.308773,1066.14852,27855.01099,7106.555223,2753.422737,4510.643244,1050.636768,31204.53238,12340.17897,1012.023926,2002.464771,6790.331364,2802.273273,41961.35926,1479.10881,2956.408978,2807.010174,16684.95822,7009.416103,15843.84799,16841.87007,599364.3916,1057.010174,45355.33977,4475.639343,1492.41972,1358.864307,7891.963243,2689.623047,1949.291016,3833.728027,1585.124731,1122.153282,1142.364979,2115.056992,5400.643826,6177.209377,1989.165068,2856.220007,4073.476076,1094.741106,2148.820639,2353.821516,1481.139183,1359.262228,1426.24855,1564.543486,4419.879913,2069.736242,5347.918272
7167.462826,22069.43481,1610.892773,2458.716797,5960.36315,1762.050152,1887.014627,1802.431345,1858.745098,1086.453676,5409.005642,2417.367458,1293.800592,1300.472736,9275.579691,22066.5853,5648.000717,3511.951208,2754.973888,6776.147604,1283.965111,71165.3645,1086.945772,1062.49547,27686.5201,7199.557304,2836.490154,4337.834597,1079.153299,30535.81595,12386.08098,1008.033752,2097.708464,6755.308151,2846.847057,40833.03618,1285.155296,3001.795053,2940.542698,15041.67056,6757.880449,16665.01808,17022.66073,586456.4874,1066.449165,45890.85937,4337.222815,1472.4617,1296.313047,7416.288853,2686.938721,2036.051025,3565.78418,1745.923519,1152.226448,1121.878862,2726.251602,5548.039198,5947.020054,2026.598215,2959.61237,2130.827188,1083.935976,2187.548399,2231.173992,1454.042196,1421.004295,1303.716183,1553.077698,4019.680262,2003.069878,5435.784817
7185.69994,21509.89478,1613.054991,2671.637939,6163.221598,1444.914341,1801.872015,1814.265728,1906.515598,1087.251902,5346.793175,2519.855976,977.6856899,1318.842649,9569.024563,21921.92841,6568.105459,3574.108839,2762.1696,6791.253805,1320.23716,71614.53962,1067.615986,1040.821075,29688.53807,7025.459528,2770.220041,3970.065594,1365.611553,30744.68517,12424.31355,1321.803331,2278.820753,6878.237724,3043.531656,39032.14097,1142.1206,3214.392424,2879.061699,15197.58058,6776.920795,16068.96424,16835.57487,592399.3175,1054.994106,45557.63245,4373.354435,1535.686016,1469.600439,7594.683409,2591.218262,2157.439941,3607.075928,1629.217386,1150.845766,1118.126392,2197.250605,5563.424349,6559.22389,2018.038273,2916.719675,2369.127035,1604.619026,2333.239079,2178.746939,1399.939537,1385.627031,1302.304983,1600.550652,3610.18014,1892.833948,5099.864006
7176.799774,27601.00415,1632.000685,2543.875,6062.637806,1813.205957,1918.490171,1802.612066,1874.849796,1109.610081,5439.555407,2424.30234,1035.179853,1320.69993,9311.001301,21426.51963,5628.773689,3670.246601,2697.248697,6617.089033,1271.704674,71630.9247,1074.390173,1364.372969,27593.05239,7283.080339,2837.832212,4040.238142,1159.487724,30853.26457,12447.29686,1014.155865,1981.619835,7521.962166,2857.843876,40074.15557,1169.453144,3144.178629,2927.457571,14841.20083,6794.690132,15459.23662,17222.61238,579772.805,1045.710087,45957.59296,4238.157034,1538.018942,1304.146528,7721.24958,2579.85498,2553.640137,4812.194092,1645.683765,1156.53348,1131.242275,2197.443724,5463.644505,5694.695473,2015.64455,2894.474983,2279.549122,1891.606569,2243.95442,2291.01491,1589.868546,1388.639212,1260.804892,1546.790123,3806.043625,1871.511936,6431.495905
7277.98295,22150.77515,1712.340117,2657.116699,6003.473282,1797.60313,1916.896105,1818.848133,1890.652895,1090.381384,5411.768198,2445.180655,1017.00449,1379.990101,9485.615015,21822.03531,5858.425856,4083.959341,2520.025253,6856.371164,1269.192457,71126.29366,1078.935146,1300.144434,28587.7974,7574.979305,3276.974201,4670.518398,1102.249146,30905.16591,12757.80177,1124.39537,2078.882217,7265.50436,3434.541941,39940.28974,1241.826296,2978.735924,2869.278193,14798.82908,6871.300697,15801.11599,17668.35332,431155.7295,1054.760933,45719.71989,4652.771473,1520.346165,1376.644373,7611.918449,2593.996094,2326.03418,3954.082275,1750.793457,1349.241257,1162.662983,2171.864033,5722.407818,6188.309193,1942.087173,2893.844604,2373.198748,1096.877098,2244.650126,2363.460541,1517.506599,1394.859314,1297.790766,1543.530226,3890.475512,1930.9659,5354.042292
7271.462917,22070.43604,1716.973782,2762.811768,6313.575268,1419.454098,2076.65205,1872.175455,1883.10957,1134.646416,5479.285002,2528.913021,1006.253242,1344.912052,9478.995562,22322.13211,6135.098219,3686.605692,2694.318771,6583.169699,1268.740416,72318.06064,1113.969088,1044.263363,27938.89928,7324.850082,3099.72477,4227.829456,1066.491842,31035.23278,12451.06888,1349.861622,2009.301662,6703.2969,2869.682312,39388.07893,1123.665094,2949.228764,2886.719704,16688.33899,6741.655111,16422.4453,17267.1051,587451.0202,1054.217339,46215.98744,4445.510149,1486.54151,1400.808096,7349.600792,2906.89209,2361.044189,4395.650879,1698.033333,1103.45149,1112.68878,2141.764402,5775.810003,6319.502592,1969.713926,2883.672237,2347.401381,1059.864044,2272.094488,2308.405161,1471.448183,1353.334188,1302.017689,1571.531057,4047.711849,1939.416885,5442.599058
7497.077465,21856.20386,1656.596661,2763.119873,5861.294031,1440.629721,1821.351767,1788.233757,1858.633041,1072.893381,5442.425013,2471.957207,1060.858488,1854.939699,9485.445023,22946.76137,5973.191023,3458.330393,2662.617922,7075.493574,1520.314217,73292.66977,1091.801405,1040.979147,28164.67571,7190.101862,2965.432405,4024.187565,1087.341309,30338.97901,12704.76341,1019.736528,2006.29282,6513.383389,2862.805128,39294.52586,1200.423002,3165.937185,2863.372087,16389.32228,7353.755474,16194.50092,16560.19115,574040.2293,1044.057131,45999.77756,4393.717289,1487.389326,1335.555077,7816.587687,2703.069092,2482.198975,3695.053955,1635.009766,1364.499092,1141.194582,2253.269672,5607.681274,6038.461208,2023.007393,2877.296925,2605.979681,2035.143375,2389.545441,2231.072187,1501.482964,1518.586397,1327.532053,1590.571165,4024.394274,1817.896128,5410.943508
7176.376104,22255.552,1651.100636,2931.178955,5961.29179,1434.670925,2322.366714,1904.90365,1884.171009,1156.951904,5420.808792,2499.818563,991.1568165,1324.860096,9169.476032,21850.41761,5818.416595,3601.336956,2607.26285,6948.776007,1250.567913,72586.59983,1089.121342,1047.210932,28400.92468,7218.040943,2757.265568,4241.758585,1082.986116,30511.53517,13072.4864,1030.039549,2146.704912,6632.805824,2957.796574,37862.74314,1541.980028,3091.634274,2997.333527,16427.58203,7048.414707,16173.55275,17115.36789,558369.082,1054.186106,46593.18781,4461.743593,1496.355772,1313.993931,7377.364874,2685.995117,2249.234131,3912.058838,1632.957458,1134.663105,1455.415249,2227.920771,5632.230043,5982.561111,1948.448658,2902.102947,2305.654764,1998.642921,2345.55006,2333.199739,1429.858685,1499.25828,1261.466742,1556.340218,3875.103235,1884.372473,5452.884912
7148.014784,22380.98291,1680.776834,2698.985107,6137.499571,1475.102663,1995.047569,1773.010492,1913.84697,1091.978312,5517.277956,2452.005625,1004.694939,1324.228764,9273.22197,22406.62956,5763.85498,3489.692688,2570.395947,6582.828283,1265.813351,71850.97408,1105.56674,1091.115952,27878.3679,7134.975433,2902.078152,4105.445147,1063.397646,31846.71617,12130.37324,997.7924824,2011.764288,7611.657858,2875.285864,38909.9102,1499.512434,2919.204473,2764.249325,14787.4701,7004.131556,15273.6299,16735.9612,598559.8752,1352.163315,46505.47075,4327.224255,1531.037807,1315.017939,7303.57337,2877.279785,2343.073975,3993.0271,1633.116245,1118.170977,1135.471582,2643.667698,5562.945604,6079.35214,1922.729254,2876.647472,2396.129847,1762.577057,2801.793337,2257.708788,1347.855091,1359.550953,1274.895191,1558.450222,3911.905766,1879.953384,5502.598286
7121.594429,27995.60498,2279.840231,2816.704102,5998.603582,1503.012657,1910.486221,1833.736897,1922.562838,1094.080687,5353.075981,2459.062576,1406.289577,1302.509069,9360.684633,21737.67734,5817.731619,3890.874386,2420.609951,6890.319109,1304.195881,72516.56604,1100.47245,1032.59182,31086.59458,7096.446037,3009.343386,4068.01343,1062.856913,31125.58842,12459.77044,1017.473221,2006.134748,6906.778574,2840.956688,39680.54724,1148.719788,2917.469263,2812.314034,16635.26106,7345.476627,16717.60678,18732.39112,556917.2363,1046.15283,46735.14843,4502.050638,1505.974054,1388.819695,7097.631693,3001.13916,2362.782227,5497.79834,1644.113779,1155.021429,1159.078836,2146.438599,5379.54402,6041.12649,2281.479836,2842.172861,2370.545387,1075.586796,2318.340302,2241.068125,1373.309612,1507.634401,1240.8638,1572.520256,3851.330042,1779.277802,5465.074062
7150.333643,22751.53296,2121.680498,2559.98999,6129.692316,1493.253469,2303.213835,1835.919142,1875.552893,1150.303841,5412.914991,2453.465223,1009.083748,1281.660557,9139.638662,22200.73271,5686.482191,3681.08201,2620.576143,6553.902626,1248.735666,70973.809,1077.575207,1048.237085,29241.18114,7209.295034,3084.522724,4083.237886,1091.132879,30756.67381,12513.33237,1022.269249,2019.311905,6890.711069,2952.792168,39189.56709,1212.574959,2877.705097,2790.215254,15184.07154,6840.342283,15786.24535,16835.38198,569698.7507,1048.838377,46007.59196,4833.835363,1501.339912,1332.536221,7127.788544,2800.311768,3338.730225,4407.762939,1672.28055,1111.575127,1151.377201,2195.705891,5403.158426,6574.480772,1976.737261,2882.185698,2352.181435,1020.613909,2272.110462,2284.561396,1439.035177,1410.894871,1466.187716,1541.426897,3953.4688,1754.199266,5618.319988
7249.129057,22524.46191,1667.632818,2953.935059,6468.815804,1450.004816,1923.440933,1820.989609,1864.648342,1110.818624,5415.585279,2434.504032,1030.750513,1331.544161,9317.273378,22632.27868,5750.316858,3629.127264,2346.315384,6689.974785,1248.877287,71868.41488,1320.978165,1048.837662,28489.0945,7057.818413,3009.447813,4111.887455,1117.322922,30556.48589,12509.87482,1032.604933,2002.696037,6783.526421,2892.377138,38415.96889,1182.703018,2960.663557,3128.740549,16498.76523,7564.88657,16339.679,17131.81663,558296.1218,1383.277178,49039.25133,4542.241096,1531.573772,1357.765436,7444.608688,2752.012939,2628.570068,3995.826172,1623.064518,1149.292469,1374.581337,2166.732073,5939.143419,6172.16301,2268.858671,2916.047573,2712.528706,1084.848642,2389.098883,2512.633324,1261.180401,1427.419424,1274.603605,1403.065681,3937.271595,1798.554182,5380.443573
7169.181347,21556.19092,1712.733269,2926.816895,5976.797104,1428.549528,1944.537163,1846.793413,1908.216715,1122.802973,5374.523163,2496.150017,1008.469105,1303.335905,9548.012495,22185.16803,5908.313036,3775.776625,2655.070782,6914.349556,1246.395826,72307.19185,1083.423615,1021.118164,28355.24964,6976.651192,2835.151672,4280.890703,1090.568304,30939.97693,12306.73933,994.5526123,1990.59391,7481.592417,2864.407063,40193.03989,1137.390614,2964.560509,2833.029032,14805.32765,7006.770611,16542.62257,16540.39598,589687.1614,1030.269861,45616.19306,4446.276426,1566.976786,1413.717031,7203.078508,2811.549805,2430.627197,4096.3479,1594.169617,1117.586136,1117.241621,2116.789579,5666.610003,6581.742048,1969.668388,2976.913452,2324.819565,1098.903656,2309.638023,2342.515469,1463.245153,1336.76672,1351.393223,1552.742004,3909.1115,1794.458628,5325.53792
